"id_rota,N,10,0","vl_codigo_,C,15","id_versao_,N,10,0","id_versao1,N,10,0","vl_km_inic,N,19,8","vl_km_fina,N,19,8"
50678,287BRS202507A,80,0,0,535
50806,290ARS10202507A,80,0,0,4.2
50183,290ARS30202507A,80,0,0,2.8
50433,290BRS202507A,80,0,0,726
50615,293ARS10202507A,80,0,0,0.7
50690,293ARS20202507A,80,0,0,4.3
50639,293ARS30202507A,80,0,0,2.1
50180,293BRS202507A,80,0,0,532.7
50421,304BCE202507A,80,0,0,100.8
50564,304BRN202507A,80,0,0,325.9
50240,307AAM10202507A,80,0,0,5.7
50656,307BAC202507A,80,0,0,209.2
50687,307BAM202507A,80,0,0,1543.7
50776,308BMA202507A,80,0,0,313.6
50229,308BPA202507A,80,0,0,322.9
50198,316AAL10202507A,80,0,0,2.9
50409,316API10202507A,80,0,0,2
50527,316BAL202507A,80,0,0,294.1
50289,316BMA202507A,80,0,0,621.1
50536,316BPA202507A,80,0,0,274
50129,316BPE202507A,80,0,0,438.3
50708,316BPI202507A,80,0,0,417.8
50503,316CAL10202507A,80,0,0,2.4
50414,316CMA10202507A,80,0,0,14.2
50755,316CPE10202507A,80,0,0,4.05
50304,316CPI10202507A,80,0,0,3
50552,316CPI20202507A,80,0,0,2.1
50642,316CPI30202507A,80,0,0,2.7
50177,316UMA10202507A,80,0,0,5.5
50283,317AAC10202507A,80,0,0,4
50584,317BAC202507A,80,0,0,408.9
50280,317BAM202507A,80,0,0,526.7
50394,319BAM202507A,80,0,0,821
50231,319BRO202507A,80,0,0,144.9
50694,319CRO10202507A,80,0,0,32.9
50756,324ABA10202507A,80,0,0,8.7
50595,324ABA20202507A,80,0,0,4.3
50132,324ABA30202507A,80,0,0,0.9
50719,324BBA202507A,80,0,0,629.3
50464,324BMA202507A,80,0,0,107
50128,324BPI202507A,80,0,0,533.5
50176,324CBA10202507A,80,0,0,3.4
50212,324CBA20202507A,80,0,0,5.6
50460,324CBA30202507A,80,0,0,5.5
50432,324NBA10202507A,80,0,0,17.3
50371,330ABA10202507A,80,0,0,4.1
50716,330BBA202507A,80,0,0,892.8
50300,330BMA202507A,80,0,0,145.5
50225,330BPI202507A,80,0,0,456.4
50465,330CBA10202507A,80,0,0,20.7
50797,342BBA202507A,80,0,0,61.2
50665,342BES202507A,80,0,0,234.3
50763,342BMG202507A,80,0,0,665.9
50156,343API10202507A,80,0,0,4.9
50321,343BPI202507A,80,0,0,737.9
50175,349AAL10202507A,80,0,0,3.6
50241,349BAL202507A,80,0,0,136.3
50381,349BBA202507A,80,0,0,1131.6
50802,349BGO202507A,80,0,0,22.8
50470,349BSE202507A,80,0,0,221.1
50828,349CBA10202507A,80,0,0,7.8
50706,349CBA20202507A,80,0,0,11.2
50567,349CBA30202507A,80,0,0,0.8
50780,349CBA40202507A,80,0,0,6.7
50313,349UAL10202507A,80,0,0,7.5
50630,349UAL20202507A,80,0,0,7.1
50798,349UAL30202507A,80,0,0,2.2
50208,352BGO202507A,80,0,0,316.9
50689,352BMG202507A,80,0,0,485.2
50389,354BGO202507A,80,0,0,62
50635,354BMG202507A,80,0,0,781.1
50286,354BRJ202507A,80,0,0,26.1
50451,356BMG202507A,80,0,0,291.9
50578,356BRJ202507A,80,0,0,187.7
50223,356CRJ10202507A,80,0,0,12.5
50326,359BGO202507A,80,0,0,113.9
50403,359BMS202507A,80,0,0,543.5
50598,361BPB202507A,80,0,0,194.3
50154,361BPE202507A,80,0,0,67
50407,361CPB10202507A,80,0,0,3.4
50610,361CPB20202507A,80,0,0,2.5
50195,361CPB30202507A,80,0,0,6.5
50675,361CPB40202507A,80,0,0,4
50514,363BPE202507A,80,0,0,13.6
50373,364AAC10202507A,80,0,0,6.4
50216,364ARO10202507A,80,0,0,7
50182,364ARO20202507A,80,0,0,1.3
50188,364ARO30202507A,80,0,0,1.2
50599,364BAC202507A,80,0,0,889.31
50319,364BGO202507A,80,0,0,387.5
50667,364BMG202507A,80,0,0,288.2
50679,364BMT202507A,80,0,0,1360.8
50459,364BRO202507A,80,0,0,1151.6
50141,364BSP202507A,80,0,0,316
50649,364CRO10202507A,80,0,0,12
50760,364NRO10202507A,80,0,0,37.6
50645,364VMT10202507A,80,0,0,7.7
50602,364VMT20202507A,80,0,0,10.5
50151,365BMG202507A,80,0,0,870.4
50637,367BBA202507A,80,0,0,164
50510,367BMG202507A,80,0,0,662.3
50278,369APR10202507A,80,0,0,4.4
50522,369BMG202507A,80,0,0,284.8
50412,369BPR202507A,80,0,0,508.3
50439,369BSP202507A,80,0,0,437.3
50184,373BPR202507A,80,0,0,620.5
50643,373BSP202507A,80,0,0,344.1
50213,374BSP202507A,80,0,0,600.1
50752,376APR10202507A,80,0,0,5.3
50662,376APR20202507A,80,0,0,4.5
50282,376BMS202507A,80,0,0,238.3
50712,376BPR202507A,80,0,0,686.7
50306,376BSC202507A,80,0,0,6.2
50445,376BSP202507A,80,0,0,18
50636,376CPR10202507A,80,0,0,17.3
50477,376CPR20202507A,80,0,0,39.1
50618,376UPR20202507A,80,0,0,10
50778,376VPR10202507A,80,0,0,18.3
50291,377BRS202507A,80,0,0,530
50475,381AMG10202507A,80,0,0,6.6
50355,381BES202507A,80,0,0,150.8
50461,381BMG202507A,80,0,0,951.3
50322,381BSP202507A,80,0,0,95
50817,381CMG10202507A,80,0,0,67.5
50462,381CMG20202507A,80,0,0,38.6
50761,381CMG30202507A,80,0,0,7.4
50391,381UMG10202507A,80,0,0,15
50443,381VMG10202507A,80,0,0,11.6
50340,383BMG202507A,80,0,0,425.1
50590,383BSP202507A,80,0,0,178
50345,386BRS202507A,80,0,0,455.3
50816,386BSC202507A,80,0,0,76.1
50431,392ARS10202507A,80,0,0,5.4
50387,392ARS20202507A,80,0,0,1.5
50785,392ARS30202507A,80,0,0,3
50162,392ARS40202507A,80,0,0,6.6
50354,392ARS50202507A,80,0,0,1.8
50587,392ARS60202507A,80,0,0,15.6
50227,392BRS202507A,80,0,0,720.3
50215,393ARJ10202507A,80,0,0,12.6
50143,393BES202507A,80,0,0,82.4
