id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint,BR_PAD,UF,KM_INI_SNV,KM_FIM_SNV,KM_INI_ARRED_SNV,__row_id_snv,KM_INI_SHP,KM_FIM_SHP,KM_INI_ARRED_SHP
020BCE0530,20,BR-20,CE,Eixo Principal,Boa Viagem,653.0,831.0,178.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|653,BR-20,CE,653.0,831.0,653,34,,,
020BCE0540,20,BR-20,CE,Eixo Principal,Boa Viagem,831.0,1558.0,727.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|831,BR-20,CE,831.0,1558.0,831,35,,,
020BCE0550,20,BR-20,CE,Eixo Principal,Boa Viagem,1558.0,2032.0,474.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|1558,BR-20,CE,1558.0,2032.0,1558,36,,,
020BCE0560,20,BR-20,CE,Eixo Principal,Boa Viagem,2032.0,2391.0,359.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2032,BR-20,CE,2032.0,2391.0,2032,37,,,
020BCE0570,20,BR-20,CE,Eixo Principal,Boa Viagem,2391.0,2536.0,145.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2391,BR-20,CE,2391.0,2536.0,2391,38,,,
020BCE0580,20,BR-20,CE,Eixo Principal,Boa Viagem,2536.0,2799.0,263.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2536,BR-20,CE,2536.0,2799.0,2536,39,,,
020BCE0590,20,BR-20,CE,Eixo Principal,Boa Viagem,2799.0,3088.0,289.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|2799,BR-20,CE,2799.0,3088.0,2799,40,,,
020BCE0600,20,BR-20,CE,Eixo Principal,Fortaleza,3088.0,3262.0,174.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3088,BR-20,CE,3088.0,3262.0,3088,41,,,
020BCE0610,20,BR-20,CE,Eixo Principal,Fortaleza,3262.0,3355.0,93.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3262,BR-20,CE,3262.0,3355.0,3262,42,,,
020BCE0630,20,BR-20,CE,Eixo Principal,Fortaleza,3355.0,3485.0,130.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3355,BR-20,CE,3355.0,3485.0,3355,43,,,
020BCE0640,20,BR-20,CE,Eixo Principal,Fortaleza,3485.0,3589.0,104.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3485,BR-20,CE,3485.0,3589.0,3485,44,,,
020BCE0650,20,BR-20,CE,Eixo Principal,Fortaleza,3589.0,4066.0,477.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|3589,BR-20,CE,3589.0,4066.0,3589,45,,,
020BCE0665,20,BR-20,CE,Eixo Principal,,4066.0,4186.0,120.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|CE|4066,BR-20,CE,4066.0,4186.0,4066,46,,,
020BPI0370,20,BR-20,PI,Eixo Principal,,0.0,546.0,546.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|0,BR-20,PI,0.0,546.0,0,47,,,
020BPI0380,20,BR-20,PI,Eixo Principal,,546.0,598.0,52.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|546,BR-20,PI,546.0,598.0,546,48,,,
020BPI0385,20,BR-20,PI,Eixo Principal,,598.0,929.0,331.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|598,BR-20,PI,598.0,929.0,598,49,,,
020BPI0390,20,BR-20,PI,Eixo Principal,,929.0,1532.0,603.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|929,BR-20,PI,929.0,1532.0,929,50,,,
020BPI0400,20,BR-20,PI,Eixo Principal,,1532.0,1917.0,385.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|1532,BR-20,PI,1532.0,1917.0,1532,51,,,
020BPI0410,20,BR-20,PI,Eixo Principal,,1917.0,2174.0,257.0,PLA,Transversal,km_crescente,Estadual,nao,2025-07,BR-20|PI|1917,BR-20,PI,1917.0,2174.0,1917,52,,,
020BPI0415,20,BR-20,PI,Eixo Principal,Picos,2174.0,2192.0,18.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2174,BR-20,PI,2174.0,2192.0,2174,53,,,
020BPI0420,20,BR-20,PI,Eixo Principal,Picos,2192.0,2205.0,13.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2192,BR-20,PI,2192.0,2205.0,2192,54,,,
020BPI0425,20,BR-20,PI,Eixo Principal,Picos,2205.0,2210.0,5.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2205,BR-20,PI,2205.0,2210.0,2205,55,,,
020BPI0430,20,BR-20,PI,Eixo Principal,Picos,2210.0,2218.0,8.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2210,BR-20,PI,2210.0,2218.0,2210,56,,,
020BPI0435,20,BR-20,PI,Eixo Principal,Picos,2218.0,2275.0,57.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2218,BR-20,PI,2218.0,2275.0,2218,57,,,
020BPI0440,20,BR-20,PI,Eixo Principal,Picos,2275.0,2439.0,164.0,N_PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2275,BR-20,PI,2275.0,2439.0,2275,58,,,
020BPI0490,20,BR-20,PI,Eixo Principal,,2439.0,3307.0,868.0,PLA,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|2439,BR-20,PI,2439.0,3307.0,2439,59,,,
020BPI0493,20,BR-20,PI,Eixo Principal,Picos,3307.0,3535.0,228.0,PAV,Transversal,km_crescente,Federal,nao,2025-07,BR-20|PI|3307,BR-20,PI,3307.0,3535.0,3307,60,,,
