id_trecho,br,br_pad,uf,trecho_desc,localidade,km_ini,km_fim,ext_km,situacao,classe,sentido,jurisdicao,concessao,data_ref,chave_trecho_hint
030BBA0230,30,BR-30,BA,Eixo Principal,Cocos,1915.0,2231.0,316.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|1915
030BBA0235,30,BR-30,BA,Eixo Principal,Cocos,2231.0,2384.0,153.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2231
030BBA0236,30,BR-30,BA,Eixo Principal,Cocos,2384.0,2817.0,433.0,N_PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2384
030BBA0237,30,BR-30,BA,Eixo Principal,Vitória da Conquista,2817.0,2865.0,48.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2817
030BBA0240,30,BR-30,BA,Eixo Principal,Vitória da Conquista,2865.0,2876.0,11.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2865
030BBA0242,30,BR-30,BA,Eixo Principal,Vitória da Conquista,2876.0,3097.0,221.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|2876
030BBA0244,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3097.0,3118.0,21.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3097
030BBA0250,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3118.0,3522.0,404.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3118
030BBA0251,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3522.0,3538.0,16.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3522
030BBA0252,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3538.0,3770.0,232.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3538
030BBA0254,30,BR-30,BA,Eixo Principal,Vitória da Conquista,3770.0,3950.0,180.0,PAV,Diagonal,km_crescente,Federal,nao,2025-07,BR-30|BA|3770
